content_replicate,TimeToThreshold,RAF,MPR,MS
46P.-2_4,0,0,1.133732535,7.5
46P.-3_4,0,0,1.026209677,3.5
48P.-1_4,0,0,1.059055118,2.833333333
48P.-2_4,0,0,1.077821012,4
48P.-3_4,0,0,1.072,2.666666667
50P.-1_4,0,0,1.04526749,4.166666667
50P.-2_4,0,0,1.042857143,3
50P.-3_4,0,0,1.138004246,4
blank_5-20221110_M3,0,0,1.135416667,7.166666667
neg_5-20221110_M3,0,0,1.039175258,3.166666667
pos_5-20221110_M3,14.66,0.068212824,17.95859213,1315.833333
52P.-1_1,0,0,1.039215686,4
52P.-2_1,0,0,1.103921569,4.166666667
52P.-3_1,0,0,1.0501002,3
53P.-1_1,0,0,1.074074074,2.833333333
53P.-2_1,0,0,1.157575758,6
53P.-3_1,0,0,1.109615385,4.5
54P.-1_1,0,0,1.136633663,5.666666667
54P.-2_1,0,0,1.089613035,3.666666667
54P.-3_1,0,0,1.114893617,4
blank_6-20221110_M3,46.91,0.021317416,4.375838926,128.1666667
neg_6-20221110_M3,0,0,1.029411765,3.166666667
pos_6-20221110_M3,18.41,0.054318305,13.28282828,976.3333333
52P.-1_2,0,0,1.151639344,4
52P.-2_2,0,0,1.057539683,3
52P.-3_2,0,0,1.026104418,2.5
53P.-1_2,40.91,0.024443901,7.429961089,534.3333333
53P.-2_2,0,0,1.215568862,11.66666667
53P.-3_2,0,0,1.059917355,2.833333333
54P.-1_2,0,0,1.068825911,3.333333333
54P.-2_2,0,0,1.089068826,4.833333333
54P.-3_2,0,0,1.099576271,4.833333333
blank_7-20221110_M3,0,0,1.034693878,3.5
neg_7-20221110_M3,0,0,1.019313305,2.833333333
pos_7-20221110_M3,13.91,0.071890726,47.82916667,3491.166667
52P.-1_3,0,0,1.039292731,3.666666667
52P.-2_3,0,0,1.148351648,8.166666667
52P.-3_3,0,0,1.017509728,4.333333333
53P.-1_3,0,0,1.087040619,3.833333333
53P.-2_3,0,0,1.033333333,3.166666667
53P.-3_3,0,0,1.153081511,4.833333333
54P.-1_3,0,0,1.045725646,4
54P.-2_3,0,0,1.092184369,3.333333333
54P.-3_3,0,0,1.161616162,6.833333333
blank_8-20221110_M3,0,0,1.072614108,3.166666667
neg_8-20221110_M3,0,0,1.086614173,4.333333333
pos_8-20221110_M3,16.91,0.059136606,18.99364407,1242.833333
52P.-1_4,0,0,1.070422535,4.166666667
52P.-2_4,0,0,1.242063492,12
52P.-3_4,0,0,1.029239766,3.166666667
